842	2.2	7	188	1	20	756	2549	2	9	2	7	19	1
1021	0.5	53	136	0	905	1988	2631	3	17	6	3	7	2
563	0.5	41	145	2	1263	1716	2603	5	11	6	2	9	2
615	2.5	10	131	0	1216	1786	2769	6	16	9	8	11	2
1821	1.2	44	141	13	1208	1212	1411	2	8	14	2	15	1
1859	0.5	22	164	3	1004	1654	1067	1	17	7	1	10	1
1821	1.7	10	139	4	381	1018	3220	8	13	10	8	18	3
1954	0.5	24	187	0	512	1149	700	4	16	0	3	5	0
1445	0.5	53	174	0	386	836	1099	7	17	14	1	20	0
509	0.6	9	93	2	1137	1224	513	5	19	15	10	12	0
769	2.9	9	182	0	248	874	3946	5	5	1	2	7	3
1520	2.2	33	177	5	151	1005	3826	8	14	18	9	13	3
1815	2.8	33	159	2	607	748	1482	4	18	17	0	2	1
803	2.1	17	198	7	344	1440	2680	4	7	11	1	4	2
1866	0.5	52	185	13	356	563	373	1	14	17	9	3	0
775	1	46	159	3	862	1864	568	2	17	16	15	11	0
838	0.5	13	196	1	984	1850	3554	8	10	4	9	19	3
595	0.9	23	121	7	441	810	3752	3	10	17	2	18	3
1131	0.5	49	101	11	658	878	1835	5	19	18	13	16	1
682	0.5	19	121	4	902	1064	2337	4	11	11	1	18	1
772	1.1	39	81	12	1314	1854	2819	7	17	14	15	3	3
1709	2.1	13	156	1	974	1385	3283	2	17	2	1	15	3
1949	2.6	47	199	4	407	822	1433	4	11	7	5	20	1
1602	2.8	38	114	4	466	788	1037	3	8	20	7	20	0
503	1.2	8	111	5	201	1245	2583	3	11	13	0	12	1
961	1.4	57	114	0	291	1434	2782	8	18	3	9	7	2
519	1.6	51	132	7	550	645	3763	4	16	19	1	4	3
956	0.5	41	143	1	511	1075	3286	7	17	6	8	12	3
1453	1.6	52	96	12	187	1311	2373	2	10	18	1	10	2
851	0.5	21	200	3	1171	1263	478	5	12	7	7	10	0
1579	0.5	5	88	0	1358	1739	3532	7	17	9	11	12	3
1568	0.5	33	150	16	413	654	508	8	5	20	1	6	0
1319	0.9	41	107	3	85	1152	2227	1	18	18	5	3	1
1310	2.2	51	100	0	178	1919	3845	4	7	0	0	12	3
644	2.7	22	157	0	311	881	1262	8	12	3	1	15	0
725	1.3	60	160	16	1134	1249	1326	8	10	17	4	15	1
589	2.3	61	160	1	429	815	2113	4	13	10	7	2	1
1725	1.6	6	119	6	609	1307	3429	2	6	18	5	4	3
790	2	11	87	16	347	730	3169	6	6	17	1	2	2
560	0.5	50	159	15	1448	1613	2150	2	18	20	12	11	2
1347	2.9	44	132	5	434	967	2484	1	18	14	2	11	2
1646	2.3	41	185	8	1725	1932	3339	2	18	10	10	19	3
1253	0.5	5	152	5	685	714	1878	2	15	19	0	4	1
1656	1	34	166	5	880	1456	1629	3	15	7	12	14	1
1195	2.8	20	110	1	1580	1652	504	2	9	14	3	12	0
1514	2.9	27	118	0	186	1810	1152	3	8	1	3	20	1
1723	1.1	42	164	1	202	1791	3587	8	10	14	5	3	3
1054	1.8	40	196	3	27	774	2296	7	16	10	12	12	1
578	2.6	57	162	2	1025	1433	1270	8	15	8	3	5	0
596	2.1	64	111	9	885	1854	3238	8	16	15	13	10	3
1547	3	14	198	2	1042	1832	2059	3	5	19	0	15	2
1760	1.4	63	127	5	1382	1383	2053	8	19	19	12	16	2
1654	1.5	43	109	0	546	629	3112	2	12	0	5	10	3
1457	1.9	16	102	1	1013	1287	1440	3	17	10	8	12	1
1073	0.5	51	145	0	690	804	2908	7	6	0	0	18	2
1936	2.1	46	104	10	667	1036	2552	3	14	20	7	13	2
823	2.7	60	148	13	822	1449	905	8	14	19	11	17	0
987	1.3	61	107	0	581	820	3963	3	9	9	4	20	3
1757	0.5	49	180	8	265	713	2056	6	7	14	5	4	1
1063	1.4	48	128	2	127	683	2910	5	15	4	13	9	2
1484	3	12	134	3	916	969	1457	3	14	5	4	20	1
799	2.3	63	144	1	361	975	431	8	15	6	6	6	0
1156	1.2	50	159	0	322	547	470	2	7	0	0	15	0
1720	2	55	168	15	753	1353	2148	2	14	18	2	5	2
702	2.6	9	141	2	504	1570	2955	3	10	3	4	19	2
616	1.9	44	81	13	651	1618	3366	3	18	17	8	13	3
1358	0.5	36	155	11	1565	1858	3068	4	9	14	4	4	3
1866	1.4	30	182	0	108	1781	3834	3	16	0	11	8	3
1242	1.1	10	165	0	459	1225	1050	2	11	1	1	4	0
1166	1.5	43	80	0	205	603	3993	4	7	1	1	7	3
1448	0.5	45	138	6	570	1724	3378	7	13	11	11	2	3
1407	2.4	22	104	1	1172	1217	2192	4	9	4	7	13	2
605	1	9	142	8	160	1026	392	3	15	16	6	4	0
1038	1.2	43	141	3	4	638	3709	1	11	5	0	12	3
797	2.9	38	90	4	763	1413	590	4	9	6	2	6	0
819	0.6	42	188	8	339	1242	1814	6	5	20	4	13	1
